id,category,title,description
1,IPC,Section 302 - Murder,Punishment for murder is death or life imprisonment along with fine. Applies when a person intentionally causes death of another person.
2,IPC,Section 376 - Rape,Whoever commits rape shall be punished with rigorous imprisonment of not less than ten years which may extend to life imprisonment and shall also be liable to fine.
3,IPC,Section 420 - Cheating,Whoever cheats and thereby dishonestly induces the person deceived to deliver any property shall be punished with imprisonment up to seven years and fine.
4,IPC,Section 498A - Cruelty by Husband,Whoever being the husband or relative of husband subjects a woman to cruelty shall be punished with imprisonment up to three years and fine.
5,IPC,Section 354 - Assault on Woman,Assault or criminal force to woman with intent to outrage her modesty is punishable with imprisonment of not less than one year which may extend to five years and fine.
6,Constitution,Article 14 - Right to Equality,The State shall not deny to any person equality before the law or the equal protection of the laws within the territory of India.
7,Constitution,Article 19 - Freedom of Speech,All citizens shall have the right to freedom of speech and expression and to assemble peaceably and without arms.
8,Constitution,Article 21 - Right to Life,No person shall be deprived of his life or personal liberty except according to procedure established by law.
9,Constitution,Article 32 - Right to Constitutional Remedies,The right to move the Supreme Court for enforcement of Fundamental Rights is guaranteed. Supreme Court can issue writs including habeas corpus.
10,Constitution,Article 22 - Protection Against Arbitrary Arrest,No person who is arrested shall be detained in custody without being informed of the grounds of arrest nor denied the right to consult a legal practitioner.
11,Consumer Rights,Consumer Protection Act Section 2 - Deficiency of Service,Deficiency means any fault imperfection shortcoming or inadequacy in quality nature or manner of performance in a service that is required to be maintained by law or undertaking.
12,Consumer Rights,Consumer Protection Act Section 35 - Complaint Filing,Any consumer who is dissatisfied with goods or services can file a complaint before the District Commission if value does not exceed one crore rupees.
13,Consumer Rights,Consumer Protection Act Section 39 - Remedies Available,District Commission may direct replacement of goods refund of price payment of compensation removal of defect or discontinuance of unfair trade practice.
14,Consumer Rights,Consumer Protection Act - E-Commerce Rules,E-commerce entities must display country of origin price total cost return refund exchange warranty and grievance officer contact on their platform.
15,Consumer Rights,Consumer Protection Act Section 47 - State Commission,State Commission has jurisdiction to entertain complaints where value of goods or services exceeds one crore but does not exceed ten crore rupees.
16,Cyber Law,IT Act Section 66 - Computer Related Offences,If any person dishonestly or fraudulently commits any act under Section 43 he shall be punishable with imprisonment up to three years or fine up to five lakh rupees or both.
17,Cyber Law,IT Act Section 66C - Identity Theft,Whoever fraudulently or dishonestly makes use of the electronic signature password or any other unique identification feature of any other person shall be punished with imprisonment up to three years and fine up to one lakh rupees.
18,Cyber Law,IT Act Section 67 - Obscene Material Online,Whoever publishes or transmits obscene material in electronic form shall be punished on first conviction with imprisonment up to three years and fine up to five lakh rupees.
19,Labor Law,Minimum Wages Act - Employer Obligation,Every employer shall pay to every employee engaged in a scheduled employment wages at a rate not less than the minimum rates of wages fixed by notification for that class of employees.
20,Labor Law,Factories Act Section 51 - Weekly Hours,No adult worker shall be required or allowed to work in a factory for more than forty-eight hours in any week.
